gene_name	localisation
TSPAN6	Cell-Junctions
TSPAN6	Cytosol
SCYL3	Cytosol
SCYL3	Golgi-apparatus
C1orf112	Nucleoplasm
FGR	Plasma-membrane
CFH	Vesicles
GCLC	Nucleoplasm
NFYA	Nucleoplasm
STPG1	Nucleoplasm
NIPAL3	Nucleoplasm
ANKIB1	Cytosol
ANKIB1	Plasma-membrane
CYP51A1	Endoplasmic-reticulum
RAD52	Nuclear-speckles
BAD	Mitochondria
LAP3	Cytosol
CD99	Golgi-apparatus
HS3ST1	Vesicles
HECW1	Nucleoli-fibrillar-center
MAD1L1	Nuclear-membrane
MAD1L1	Nucleoplasm
LASP1	Cytosol
LASP1	Plasma-membrane
SNX11	Endoplasmic-reticulum
TMEM176A	Mitochondria
KLHL13	Cytosol
CYP26B1	Cytosol
ICA1	Cytosol
ICA1	Vesicles
DBNDD1	Nuclear-speckles
ALS2	Cytosol
ALS2	Vesicles
CASP10	Golgi-apparatus
CFLAR	Cytosol
CFLAR	Nucleoplasm
CFLAR	Plasma-membrane
RBM5	Nucleoplasm
MTMR7	Cytosol
MTMR7	Nucleoplasm
SLC7A2	Plasma-membrane
SARM1	Mitochondria
POLDIP2	Mitochondria
AK2	Mitochondria
CD38	Plasma-membrane
FKBP4	Cytosol
KDM1A	Nucleoplasm
RBM6	Nuclear-speckles
CAMKK1	Cytosol
RECQL	Nucleoplasm
VPS50	Cytosol
VPS50	Plasma-membrane
HSPB6	Cytosol
HSPB6	Mitochondria
ARHGAP33	Plasma-membrane
NDUFAB1	Mitochondria
SLC22A16	Cytosol
SLC22A16	Plasma-membrane
ZMYND10	Basal-body
ZMYND10	Plasma-membrane
SLC25A13	Mitochondria
ST7	Nucleoplasm
CDC27	Nucleoplasm
CALCR	Cell-Junctions
HCCS	Mitochondria
DVL2	Nuclear-bodies
DVL2	Nucleoplasm
UPF1	Nucleoplasm
SKAP2	Nucleoplasm
SLC25A5	Mitochondria
MCUB	Mitochondria
HOXA11	Nucleoplasm
POLR2J	Nucleoplasm
DHX33	Nucleoli
MEOX1	Nucleoplasm
LIG3	Nucleoplasm
RPAP3	Cytosol
REXO5	Nuclear-membrane
CIAPIN1	Mitochondria
SPPL2B	Nucleoplasm
SPPL2B	Plasma-membrane
ATOSB	Nucleoli-fibrillar-center
ATOSB	Nucleoplasm
PRKAR2B	Basal-body
PRKAR2B	Centrosome
PRKAR2B	Cytosol
PRKAR2B	Golgi-apparatus
MSL3	Nucleoplasm
CREBBP	Nucleoplasm
MPO	Vesicles
GCFC2	Nucleoplasm
WDR54	Acrosome
WDR54	Vesicles
CROT	Vesicles
ABCB4	Nucleoplasm
ABCB4	Plasma-membrane
KMT2E	Nucleoplasm
RHBDD2	Golgi-apparatus
SOX8	Nucleoplasm
IBTK	Nucleoplasm
ZNF195	Nucleoplasm
MYCBP2	Nucleoplasm
FBXL3	Nuclear-bodies
PDK2	Mitochondria
PDK2	Nucleoplasm
ITGA3	Plasma-membrane
ZFX	Nucleoplasm
LAMP2	Vesicles
ITGA2B	Plasma-membrane
GDE1	Vesicles
REX1BD	Vesicles
OSBPL7	Cytosol
OSBPL7	Nucleoplasm
TMEM98	Nucleoplasm
KRT33A	Cytosol
KRT33A	End-piece
KRT33A	Principal-piece
MAP3K14	Cytosol
MAP3K14	Vesicles
ABCC8	Golgi-apparatus
ABCC8	Nucleoli
TMEM132A	Mitochondria
AP2B1	Vesicles
ZNF263	Cytosol
CX3CL1	Plasma-membrane
SPATA20	Principal-piece
CACNA1G	Acrosome
CACNA1G	Equatorial-segment
CACNA1G	Nucleoplasm
CACNA1G	Perinuclear-theca
TNFRSF12A	Cytosol
TNFRSF12A	Plasma-membrane
DLX6	Nuclear-bodies
MAP3K9	Nucleoli
MAP3K9	Nucleoplasm
RALA	Plasma-membrane
BAIAP2L1	Plasma-membrane
KDM7A	Nucleoplasm
ETV1	Nucleoplasm
AGK	Mitochondria
PHTF2	Nucleoplasm
FARP2	Cytosol
USH1C	Cytosol
DBF4	Nuclear-bodies
DBF4	Nucleoplasm
TBXA2R	Plasma-membrane
IFRD1	Plasma-membrane
LGALS14	Nucleoplasm
COX10	Mitochondria
GTF2IRD1	Nucleoplasm
PAF1	Nucleoplasm
ELAC2	Nucleoplasm
SCIN	Plasma-membrane
ARSD	Lipid-droplets
ARSD	Vesicles
UPP2	Nucleoplasm
PRSS21	Cytosol
PRSS21	Mid-piece
PRSS21	Principal-piece
MARK4	Cytosol
PROM1	Plasma-membrane
CCDC124	Cytosol
CCDC124	Plasma-membrane
PAFAH1B1	Centrosome
DNAH9	End-piece
DNAH9	Flagellar-centriole
BLTP2	Cytosol
BLTP2	Nuclear-speckles
GAS7	Plasma-membrane
MATK	Microtubules
CEACAM7	Plasma-membrane
CD79B	Plasma-membrane
ST7L	Centrosome
TKTL1	Cytosol
PAX6	Nucleoplasm
RPUSD1	Golgi-apparatus
LUC7L	Nucleoplasm
CACNA2D2	Cytosol
TSR3	Cytosol
PIGQ	Golgi-apparatus
PIGQ	Vesicles
CRAMP1	Nucleoplasm
DNAJC11	Mitochondria
PSMB1	Nucleoplasm
JARID2	Mitochondria
JARID2	Nucleoplasm
CDKL5	Nucleoplasm
CAMK1G	Cytosol
CAMK1G	Nucleoplasm
CDK11A	Nuclear-speckles
NADK	Nucleoplasm
TFAP2B	Nucleoplasm
DLEC1	Cytosol
CYTH3	Cytosol
ADAM22	Cell-Junctions
SPAG9	Centriolar-satellite
SPAG9	Cytosol
AASS	Mitochondria
PLEKHG6	Cell-Junctions
SS18L2	Mitochondria
SS18L2	Nucleoli
MPND	Nucleoli-rim
MGST1	Mitochondria
CRY1	Microtubules
CRY1	Nuclear-membrane
CRY1	Nucleoplasm
PGLYRP1	Vesicles
NFIX	Nucleoplasm
MMP25	Plasma-membrane
RHOBTB2	Plasma-membrane
HEATR5B	Golgi-apparatus
HEATR5B	Vesicles
SEC62	Endoplasmic-reticulum
RPS20	Cytosol
RPS20	Endoplasmic-reticulum
CSDE1	Cytosol
UBE3C	Cytosol
REV3L	Nucleoplasm
TENM1	Nucleoplasm
TENM1	Plasma-membrane
MASP2	Golgi-apparatus
IYD	Plasma-membrane
FAM76A	Cytosol
FAM76A	Nucleoplasm
POMT2	Nucleoplasm
VTA1	Cytosol
VTA1	Nucleoplasm
VTA1	Vesicles
MLXIPL	Nucleoplasm
BAZ1B	Nucleoplasm
RANBP9	Nucleoplasm
ETV7	Nucleoplasm
SPRTN	Nucleoplasm
METTL13	Cytosol
DYRK4	Vesicles
ZNF207	Nucleoplasm
UQCRC1	Mitochondria
STARD3NL	Vesicles
CD9	Plasma-membrane
NCAPD2	Cytosol
NCAPD2	Nucleoplasm
PHF7	Nuclear-speckles
PHF7	Nucleoplasm
NISCH	Cytosol
NISCH	Nucleoplasm
STAB1	Cytosol
FUZ	Cytosol
SLC6A13	Mitochondria
PRSS3	Vesicles
ZNF200	Mitochondria
CD4	Plasma-membrane
LRRC23	Nucleoli
LRRC23	Nucleoli-rim
BTK	Cytosol
BTK	Plasma-membrane
HFE	Plasma-membrane
SCMH1	Nucleoplasm
FYN	Plasma-membrane
HIVEP2	Nucleoplasm
ELOA	Nuclear-speckles
LYPLA2	Cytosol
LYPLA2	Nucleoplasm
NME1-NME2	Cytosol
SLC6A7	Cytosol
SLC6A7	Plasma-membrane
TSPAN9	Golgi-apparatus
TSPAN9	Nucleoplasm
BTBD7	Focal-adhesion-sites
APBA3	Vesicles
MKS1	Basal-body
ABHD5	Cytosol
ABHD5	Vesicles
AKAP8L	Nuclear-speckles
MBTD1	Nucleoplasm
UTP18	Nucleoli
UTP18	Nucleoli-rim
RNF216	Cytosol
TTC19	Mitochondria
PTBP1	Nucleoplasm
DPF1	Cytosol
DPF1	Nucleoplasm
LARS2	Mitochondria
PIK3C2A	Nucleoplasm
PIK3C2A	Vesicles
PLAUR	Plasma-membrane
ANLN	Nucleoplasm
WIZ	Nucleoplasm
RABGAP1	Cytosol
QPCTL	Golgi-apparatus
PPP5C	Cytosol
PPP5C	Vesicles
CEP68	Centriolar-satellite
CEP68	Nucleoplasm
MAP4K3	Centriolar-satellite
TYROBP	Plasma-membrane
LDAF1	Vesicles
GABRA3	Plasma-membrane
BRCA1	Nuclear-bodies
BRCA1	Nucleoplasm
ERCC1	Nucleoplasm
MBTPS2	Cytosol
MBTPS2	Mitochondria
MBTPS2	Nucleoplasm
