	n_tested	n_observed	size
0	1	0	62331800
1	1	1	124746
2	2	0	40602024
3	2	1	94353
4	2	2	33626
5	3	0	8935939
6	3	1	59435
7	3	2	14449
8	3	3	6356
9	4	0	891067
10	4	1	16838
11	4	2	3405
12	4	3	1927
13	4	4	1393
14	5	0	101283
15	5	1	4049
16	5	2	1207
17	5	3	771
18	5	4	633
19	5	5	608
20	6	0	13093
21	6	1	954
22	6	2	289
23	6	3	248
24	6	4	244
25	6	5	295
26	6	6	212
27	7	0	2313
28	7	1	151
29	7	2	87
30	7	3	87
31	7	4	94
32	7	5	110
33	7	6	118
34	7	7	94
35	8	0	378
36	8	1	43
37	8	2	10
38	8	3	20
39	8	4	22
40	8	5	37
41	8	6	53
42	8	7	60
43	8	8	40
44	9	0	64
45	9	1	3
46	9	2	1
47	9	3	1
48	9	4	7
49	9	5	10
50	9	6	8
51	9	7	23
52	9	8	20
53	9	9	17
54	10	0	6
55	10	1	1
56	10	3	1
57	10	4	4
58	10	5	1
59	10	6	5
60	10	7	6
61	10	8	11
62	10	9	12
63	10	10	10
64	11	2	1
65	11	4	1
66	11	6	2
67	11	7	1
68	11	8	5
69	11	9	10
70	11	10	6
71	11	11	4
72	12	8	1
73	12	9	4
74	12	10	3
75	12	11	5
76	12	12	1
77	13	6	1
78	13	9	3
79	13	10	1
80	13	11	2
81	13	12	1
82	13	13	2
83	14	6	1
84	14	7	1
85	14	8	1
86	14	9	1
87	14	11	2
88	14	12	4
89	14	13	1
90	15	10	1
91	15	11	1
92	15	12	2
93	15	13	2
94	16	15	2
95	18	13	1
96	18	18	1
97	20	13	1
98	20	16	1
99	26	21	1
100	32	26	1
101	40	31	1
