detectionMethod	bait	prey	pubmedID
"psi-mi:""MI:0016""(circular dichroism)"	1	1	1
"psi-mi:""MI:0052""(fluorescence correlation spectroscopy)"	1	1	1
"psi-mi:""MI:0415""(enzymatic study)"	1	1	1
"psi-mi:""MI:1038""(silicon nanowire field-effect transistor)"	1	1	1
"psi-mi:""MI:0947""(bead aggregation assay)"	1	1	1
"psi-mi:""MI:1017""(rna immunoprecipitation)"	1	1	1
"psi-mi:""MI:0695""(sandwich immunoassay)"	1	1	1
"psi-mi:""MI:0510""(homogeneous time resolved fluorescence)"	1	1	1
"psi-mi:""MI:1247""(microscale thermophoresis)"	1	1	1
"psi-mi:""MI:1016""(fluorescence recovery after photobleaching)"	1	1	1
"psi-mi:""MI:1024""(scanning electron microscopy)"	1	1	1
"psi-mi:""MI:0040""(electron microscopy)"	2	2	2
"psi-mi:""MI:0055""(fluorescent resonance energy transfer)"	2	2	2
"psi-mi:""MI:0069""(mass spectrometry studies of complexes)"	2	2	2
"psi-mi:""MI:0225""(chromatin immunoprecipitation array)"	2	2	2
"psi-mi:""MI:0066""(lambda phage display)"	2	2	2
"psi-mi:""MI:0226""(ion exchange chromatography)"	2	2	2
"psi-mi:""MI:0114""(x-ray crystallography)"	2	2	2
"psi-mi:""MI:0370""(tox-r dimerization assay)"	2	2	2
"psi-mi:""MI:0872""(atomic force microscopy)"	2	2	2
"psi-mi:""MI:0889""(acetylase assay)"	2	2	2
"psi-mi:""MI:0726""(reverse two hybrid)"	2	2	2
"psi-mi:""MI:0916""(lexa vp16 complementation)"	3	3	3
"psi-mi:""MI:0963""(interactome parallel affinity capture)"	3	3	3
"psi-mi:""MI:0073""(mrna display)"	3	3	3
"psi-mi:""MI:0115""(yeast display)"	3	3	3
"psi-mi:""MI:0968""(biosensor)"	3	3	3
"psi-mi:""MI:0108""(t7 phage display)"	3	3	3
"psi-mi:""MI:0031""(protein cross-linking with a bifunctional reagent)"	3	3	3
"psi-mi:""MI:0012""(bioluminescence resonance energy transfer)"	3	3	3
"psi-mi:""MI:0413""(electrophoretic mobility shift assay)"	4	4	4
"psi-mi:""MI:0045""(experimental interaction detection)"	4	4	4
"psi-mi:""MI:0276""(blue native page)"	4	4	4
"psi-mi:""MI:0013""(biophysical)"	5	5	5
"psi-mi:""MI:0051""(fluorescence technology)"	6	6	6
"psi-mi:""MI:0048""(filamentous phage display)"	6	6	6
"psi-mi:""MI:0404""(comigration in non denaturing gel electrophoresis)"	7	7	7
"psi-mi:""MI:0017""(classical fluorescence spectroscopy)"	7	7	7
"psi-mi:""MI:0813""(proximity ligation assay)"	8	8	8
"psi-mi:""MI:0437""(protein three hybrid)"	8	8	8
"psi-mi:""MI:0232""(transcriptional complementation assay)"	8	8	8
"psi-mi:""MI:2189""(avexis)"	8	8	8
"psi-mi:""MI:0053""(fluorescence polarization spectroscopy)"	9	9	9
"psi-mi:""MI:0077""(nuclear magnetic resonance)"	9	9	9
"psi-mi:""MI:1203""(split luciferase complementation)"	9	9	9
"psi-mi:""MI:0434""(phosphatase assay)"	9	9	9
"psi-mi:""MI:0424""(protein kinase assay)"	10	10	10
"psi-mi:""MI:0858""(immunodepleted coimmunoprecipitation)"	10	10	10
"psi-mi:""MI:0091""(chromatography technology)"	10	10	10
"psi-mi:""MI:0401""(biochemical)"	11	11	11
"psi-mi:""MI:0440""(saturation binding)"	12	12	12
"psi-mi:""MI:0655""(lambda repressor two hybrid)"	12	12	12
"psi-mi:""MI:0011""(beta lactamase complementation)"	13	13	13
"psi-mi:""MI:0369""(lex-a dimerization assay)"	15	15	15
"psi-mi:""MI:0400""(affinity technology)"	16	16	16
"psi-mi:""MI:0010""(beta galactosidase complementation)"	16	16	16
"psi-mi:""MI:0416""(fluorescence microscopy)"	17	17	17
"psi-mi:""MI:0663""(confocal microscopy)"	21	21	21
"psi-mi:""MI:0071""(molecular sieving)"	23	23	23
"psi-mi:""MI:0428""(imaging technique)"	23	23	23
"psi-mi:""MI:0588""(three hybrid)"	26	26	26
"psi-mi:""MI:0727""(lexa b52 complementation)"	32	32	32
"psi-mi:""MI:0054""(fluorescence-activated cell sorting)"	32	32	32
"psi-mi:""MI:0090""(protein complementation assay)"	34	34	34
"psi-mi:""MI:0099""(scintillation proximity assay)"	34	34	34
"psi-mi:""MI:0728""(gal4 vp16 complementation)"	34	34	34
"psi-mi:""MI:0065""(isothermal titration calorimetry)"	40	40	40
"psi-mi:""MI:0969""(bio-layer interferometry)"	41	41	41
"psi-mi:""MI:0008""(array technology)"	46	46	46
"psi-mi:""MI:0678""(antibody array)"	60	60	60
"psi-mi:""MI:0405""(competition binding)"	71	71	71
"psi-mi:""MI:0402""(chromatin immunoprecipitation assay)"	115	115	115
"psi-mi:""MI:0892""(solid phase assay)"	130	130	130
"psi-mi:""MI:0900""(p8 filamentous phage display)"	135	135	135
"psi-mi:""MI:0097""(reverse ras recruitment system)"	228	228	228
"psi-mi:""MI:1313""(proximity labelling technology)"	257	257	257
"psi-mi:""MI:0809""(bimolecular fluorescence complementation)"	271	271	271
"psi-mi:""MI:0029""(cosedimentation through density gradient)"	286	286	286
"psi-mi:""MI:0047""(far western blotting)"	334	334	334
"psi-mi:""MI:0049""(filter binding)"	441	441	441
"psi-mi:""MI:0411""(enzyme linked immunosorbent assay)"	452	452	452
"psi-mi:""MI:0231""(mammalian protein protein interaction trap)"	458	458	458
"psi-mi:""MI:2289""(virotrap)"	573	573	573
"psi-mi:""MI:1113""(two hybrid bait and prey pooling approach)"	613	613	613
"psi-mi:""MI:2215""(barcode fusion genetics two hybrid)"	752	752	752
"psi-mi:""MI:0084""(phage display)"	818	818	818
"psi-mi:""MI:1356""(validated two hybrid)"	873	873	873
"psi-mi:""MI:0034""(display technology)"	939	939	939
"psi-mi:""MI:0089""(protein array)"	987	987	987
"psi-mi:""MI:0107""(surface plasmon resonance)"	1038	1038	1038
"psi-mi:""MI:0019""(coimmunoprecipitation)"	1057	1057	1057
"psi-mi:""MI:0081""(peptide array)"	1385	1385	1385
"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)"	2343	2343	2343
"psi-mi:""MI:0112""(ubiquitin reconstruction)"	2661	2661	2661
"psi-mi:""MI:0399""(two hybrid fragment pooling approach)"	4273	4273	4273
"psi-mi:""MI:0004""(affinity chromatography technology)"	4295	4295	4295
"psi-mi:""MI:0030""(cross-linking study)"	4445	4445	4445
"psi-mi:""MI:0018""(two hybrid)"	12556	12556	12556
"psi-mi:""MI:0398""(two hybrid pooling approach)"	17751	17751	17751
"psi-mi:""MI:0676""(tandem affinity purification)"	22089	22089	22089
"psi-mi:""MI:0096""(pull down)"	24241	24241	24241
"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	33029	33029	33029
"psi-mi:""MI:1314""(proximity-dependent biotin identification)"	55916	55916	55916
"psi-mi:""MI:1112""(two hybrid prey pooling approach)"	65270	65270	65270
